k99_177258_1#SRR2107182	gb|ABS43151.1|ARO:3000784|cmeB	45.561	1025	555	3	1	1022	2	1026	0.0	934
k99_177893_1#SRR2107182	gb|ABS43151.1|ARO:3000784|cmeB	46.132	1034	547	4	1	1024	2	1035	0.0	945
k99_18491_3#SRR2107174	gb|ABS43151.1|ARO:3000784|cmeB	45.954	1038	551	4	1	1029	1	1037	0.0	969
k99_39012_6#SRR2107174	gb|ABS43151.1|ARO:3000784|cmeB	47.435	1033	536	5	1	1030	1	1029	0.0	960
k99_228993_2#SRR2107174	gb|ABS43151.1|ARO:3000784|cmeB	46.911	1036	540	5	2	1028	3	1037	0.0	953
k99_5808_14#SRR1702234	gb|ABS43151.1|ARO:3000784|cmeB	42.926	1032	583	4	1	1030	1	1028	0.0	849
k99_10750_3#SRR1702234	gb|ABS43151.1|ARO:3000784|cmeB	42.912	1044	585	4	1	1042	1	1035	0.0	863
k99_433569_1#SRR2308827	gb|ABS43151.1|ARO:3000784|cmeB	44.349	1044	569	5	1	1041	1	1035	0.0	881
k99_17742_6#SRR2107175	gb|ABS43151.1|ARO:3000784|cmeB	46.680	964	507	5	1	961	70	1029	0.0	874
k99_21667_5#SRR2107175	gb|ABS43151.1|ARO:3000784|cmeB	45.857	1038	552	4	1	1029	1	1037	0.0	967
k99_190329_1#SRR2107175	gb|ABS43151.1|ARO:3000784|cmeB	47.502	1021	532	4	2	1019	3	1022	0.0	962
k99_8290_2#SRR2107184	gb|ABS43151.1|ARO:3000784|cmeB	46.242	1051	549	6	1	1046	1	1040	0.0	942
k99_32148_7#SRR2107184	gb|ABS43151.1|ARO:3000784|cmeB	40.442	1041	605	5	1	1031	1	1036	0.0	835
k99_3926_1#SRR2107215	gb|ABS43151.1|ARO:3000784|cmeB	45.512	947	513	3	1	945	2	947	0.0	857
k99_12791_66#SRR1702227	gb|ABS43151.1|ARO:3000784|cmeB	44.444	1026	566	4	1	1023	2	1026	0.0	923
k99_2408_6#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	48.173	1040	526	5	1	1038	1	1029	0.0	964
k99_22947_1#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	45.905	1050	555	5	1	1048	1	1039	0.0	936
k99_23872_3#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	45.601	1057	555	4	1	1055	1	1039	0.0	978
k99_44937_18#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	46.693	1028	541	5	1	1025	1	1024	0.0	960
k99_54803_2#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	45.712	1026	553	4	1	1023	2	1026	0.0	940
k99_60785_21#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	38.905	1041	623	7	5	1040	6	1038	0.0	767
k99_81815_8#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	43.285	1035	581	4	1	1033	1	1031	0.0	879
k99_227516_2#SRR1068202	gb|ABS43151.1|ARO:3000784|cmeB	45.412	1057	557	4	1	1055	1	1039	0.0	975
k99_50582_6#SRR2107185	gb|ABS43151.1|ARO:3000784|cmeB	40.442	1041	605	5	1	1031	1	1036	0.0	835
k99_143959_19#SRR2107211	gb|ABS43151.1|ARO:3000784|cmeB	43.050	1036	581	5	1	1034	1	1029	0.0	865
k99_96811_8#SRR2107210	gb|ABS43151.1|ARO:3000784|cmeB	43.050	1036	581	5	1	1034	1	1029	0.0	865
k99_22843_11#SRR2107176	gb|ABS43151.1|ARO:3000784|cmeB	47.633	1035	522	11	1	1024	1	1026	0.0	956
k99_49284_1#SRR2107176	gb|ABS43151.1|ARO:3000784|cmeB	44.334	1006	541	7	1	1004	1	989	0.0	869
k99_147163_14#SRR2107176	gb|ABS43151.1|ARO:3000784|cmeB	40.444	1036	609	6	1	1033	1	1031	0.0	808
k99_155524_26#SRR2107176	gb|ABS43151.1|ARO:3000784|cmeB	42.378	1043	595	4	1	1041	1	1039	0.0	853
k99_226347_3#SRR2107176	gb|ABS43151.1|ARO:3000784|cmeB	52.440	1045	484	7	1	1039	1	1038	0.0	1078
k99_1730_4#SRR1702225	gb|ABS43151.1|ARO:3000784|cmeB	45.906	1026	551	4	1	1023	2	1026	0.0	950
k99_8859_16#SRR1702225	gb|ABS43151.1|ARO:3000784|cmeB	47.076	1026	540	3	1	1023	1	1026	0.0	962
