k99_8395#239#572#SRR2107216	gb|DQ149925.1|+|188-521|ARO:3003836|qacH	333	332	333
k99_8790#1167#2067#SRR2107216	gb|AF324833.1|+|0-900|ARO:3003711|VEB-1a	900	900	900
k99_12777#1763#2579#SRR2107216	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	816	816	816
k99_17750#0#792#SRR2107216	gb|FJ460181|+|1790-2582|ARO:3002617|aadA17	772	741	792
k99_57492#358#1834#SRR2107216	gb|NC_007682|+|20649-22125|ARO:3003109|msrE	1476	1476	1476
k99_57492#1889#2774#SRR2107216	gb|CP016215.1|+|74426-75311|ARO:3003741|mphD	885	885	885
k99_67211#4156#4987#SRR2107216	gb|AY237830|+|0-831|ARO:3001781|OXA-47	831	829	831
k99_123701#284#1061#SRR2107216	gb|NC_004998.1|-|80976-81768|ARO:3002601|aadA	780	774	777
k99_123701#1565#2405#SRR2107216	gb|JF969163|+|1053-1893|ARO:3000410|sul1	840	840	840
k99_138040#20#905#SRR2107216	gb|AB571865.1|-|143423-144308|ARO:3003742|mphG	885	885	885
k99_139198#1#955#SRR2107216	gb|AF137361|+|63-852|ARO:3002605|aadA5	789	787	954
k99_190489#0#1134#SRR2107216	gb|M18896.2|+|206-2126|ARO:3000190|tetO	1134	1125	1134
k99_205501#455#1307#SRR2107216	gb|M95287.4|+|2455-3283|ARO:3001397|OXA-2	828	828	852
k99_284115#145#1312#SRR2107216	gb|M37699|+|585-1752|ARO:3000205|tetX	1167	1165	1167
k99_334656#2#1238#SRR2107216	gb|EU434751|+|658-2578|ARO:3000194|tetW	1236	1218	1236
k99_342881#3971#4709#SRR2107216	gb|AF242872|+|2131-2878|ARO:3000375|ErmB	738	731	738
k99_354168#741#1398#SRR2107216	gb|M55620|+|0-660|ARO:3002687|catQ	657	655	657
k99_435074#711#1515#SRR2107216	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	804	803	804
k99_440000#332#1178#SRR2107216	gb|AY758206|+|2743-3589|ARO:3002611|aadA11	846	846	846
k99_3156#41434#44599#SRR2107173	gb|NC_002516|+|2810008-2813197|ARO:3000804|MexF	85	78	3165
k99_13761#13965#17205#SRR2107173	gb|NC_002516|+|2810008-2813197|ARO:3000804|MexF	460	396	3240
k99_14367#17069#20300#SRR2107173	gb|NC_002516|+|2810008-2813197|ARO:3000804|MexF	209	183	3231
k99_18271#77529#80709#SRR2107173	gb|U97042|+|1263-4347|ARO:3003010|ceoB	269	232	3180
k99_28246#25293#28446#SRR2107173	gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	524	449	3153
