k99_8395#239#572#SRR2107216	gb|AAZ42322.1|ARO:3003836|qacH	111	110	109
k99_8790#1167#2067#SRR2107216	gb|AAK14293.1|ARO:3003711|VEB-1a	300	299	299
k99_12777#1763#2579#SRR2107216	gb|AAL59753.1|ARO:3000412|sul2	272	271	271
k99_17750#0#792#SRR2107216	gb|ACK43806.1|ARO:3002617|aadA17	264	263	247
k99_57492#358#1834#SRR2107216	gb|YP_724476.1|ARO:3003109|msrE	492	491	491
k99_57492#1889#2774#SRR2107216	gb|ANP63073.1|ARO:3003741|mphD	295	294	294
k99_67211#4156#4987#SRR2107216	gb|AAP69225.1|ARO:3001781|OXA-47	277	276	275
k99_123701#284#1061#SRR2107216	gb|WP_001206316.1|ARO:3002601|aadA	259	263	257
k99_123701#1565#2405#SRR2107216	gb|AEJ33969.1|ARO:3000410|sul1	280	279	279
k99_138040#20#905#SRR2107216	gb|BAL43359.1|ARO:3003742|mphG	295	294	294
k99_139198#1#955#SRR2107216	gb|AAF17880.1|ARO:3002605|aadA5	318	262	261
k99_182808#253#2224#SRR2107216	gb|AMP42147.1|ARO:3004442|tet(W/N/W)	657	639	331
k99_190233#11#3185#SRR2107216	gb|CAJ77856.1|ARO:3000777|adeF	1058	1059	441
k99_190489#0#1134#SRR2107216	gb|AMP42147.1|ARO:3004442|tet(W/N/W)	378	639	259
k99_205501#455#1307#SRR2107216	gb|AAB59082.1|ARO:3001397|OXA-2	284	275	275
k99_271943#2168#5339#SRR2107216	gb|CAJ77856.1|ARO:3000777|adeF	1057	1059	449
k99_284115#145#1312#SRR2107216	gb|AAA27471.1|ARO:3000205|tetX	389	388	386
k99_292837#10926#14091#SRR2107216	gb|CAJ77856.1|ARO:3000777|adeF	1055	1059	441
k99_334656#2#1238#SRR2107216	gb|AMP42147.1|ARO:3004442|tet(W/N/W)	412	639	382
k99_342881#3971#4709#SRR2107216	gb|AAF86219.1|ARO:3000375|ErmB	246	248	240
k99_354168#741#1398#SRR2107216	gb|AAA23215.1|ARO:3002687|catQ	219	219	218
k99_435074#711#1515#SRR2107216	gb|ABK33456.1|ARO:3002639|APH(3'')-Ib	268	267	266
k99_440000#332#1178#SRR2107216	gb|AAV32840.1|ARO:3002611|aadA11	282	281	281
k99_3926#0#2844#SRR2107215	gb|CAJ77856.1|ARO:3000777|adeF	948	1059	417
k99_45364#293#1124#SRR2107215	gb|AAP69225.1|ARO:3001781|OXA-47	277	276	274
k99_84555#1606#2395#SRR2107215	gb|YP_001255356.1|ARO:3004146|cfrC	263	344	247
k99_91710#1167#2067#SRR2107215	gb|AAK14293.1|ARO:3003711|VEB-1a	300	299	299
k99_140119#125#914#SRR2107215	gb|AAF17880.1|ARO:3002605|aadA5	263	262	262
k99_143174#2#899#SRR2107215	gb|AEJ33969.1|ARO:3000410|sul1	299	279	279
