k99_171223_2#SRR2107219	gb|NP_414995.1|ARO:3000216|acrB	43.836	1022	553	10	5	1011	4	1019	0.0	811
k99_90751_2#SRR2107175	gb|NP_414995.1|ARO:3000216|acrB	54.760	1019	456	4	1	1014	1	1019	0.0	1164
k99_420093_3#SRR2107215	gb|NP_414995.1|ARO:3000216|acrB	43.768	1019	552	10	1	1004	7	1019	0.0	807
k99_117135_7#SRR1068202	gb|NP_414995.1|ARO:3000216|acrB	52.004	1023	478	7	1	1014	1	1019	0.0	1051
k99_197989_11#SRR2107211	gb|NP_414995.1|ARO:3000216|acrB	46.823	1023	530	8	4	1018	3	1019	0.0	900
k99_79866_12#SRR2107210	gb|NP_414995.1|ARO:3000216|acrB	46.823	1023	530	8	4	1018	3	1019	0.0	900
k99_352455_38#SRR1051195	gb|NP_414995.1|ARO:3000216|acrB	64.873	1022	354	4	1	1020	1	1019	0.0	1389
k99_111702_1#SRR1702231	gb|NP_414995.1|ARO:3000216|acrB	52.930	1024	465	5	4	1019	3	1017	0.0	1103
k99_48755_8#SRR1702226	gb|NP_414995.1|ARO:3000216|acrB	65.656	1022	347	3	1	1021	1	1019	0.0	1401
k99_126813_3#SRR1702226	gb|NP_414995.1|ARO:3000216|acrB	67.123	1022	332	3	1	1021	1	1019	0.0	1425
